
Proc ID  MPI_Rank   File #     File Pos 	 # of Bytes 	 Time(s)     I/O Op
10653      0      0    1176502272       1048576         4.714399  MPI_READ
10653      0      0     104857600             0         4.763515  MPI_SEEK
10653      0      0     104857600       1048576         4.763529  MPI_READ
10653      0      0    1178599424             0         4.809818  MPI_SEEK
10653      0      0    1178599424       1048576         4.809833  MPI_READ
10653      0      0     106954752             0         4.860499  MPI_SEEK
10653      0      0     106954752       1048576         4.860513  MPI_READ
10653      0      0    1180696576             0         4.917690  MPI_SEEK
10653      0      0    1180696576       1048576         4.917711  MPI_READ
10653      0      0     109051904             0         4.984511  MPI_SEEK
10653      0      0     109051904       1048576         4.984526  MPI_READ
10653      0      0    1182793728             0         5.024995  MPI_SEEK
10653      0      0    1182793728       1048576         5.025011  MPI_READ
10653      0      0     111149056             0         5.069602  MPI_SEEK
10653      0      0     111149056       1048576         5.069615  MPI_READ
10653      0      0    1184890880             0         5.079728  MPI_SEEK
10653      0      0    1184890880       1048576         5.079743  MPI_READ
10653      0      0     113246208             0         5.122937  MPI_SEEK
10653      0      0     113246208       1048576         5.122950  MPI_READ
10653      0      0    1186988032             0         5.170663  MPI_SEEK
10653      0      0    1186988032       1048576         5.170676  MPI_READ
10653      0      0     115343360             0         5.213514  MPI_SEEK
10653      0      0     115343360       1048576         5.213527  MPI_READ
10653      0      0    1189085184             0         5.275068  MPI_SEEK
10653      0      0    1189085184       1048576         5.275082  MPI_READ
10653      0      0     117440512             0         5.341976  MPI_SEEK
10653      0      0     117440512       1048576         5.341993  MPI_READ
10653      0      0    1191182336             0         5.387555  MPI_SEEK
10653      0      0    1191182336       1048576         5.387569  MPI_READ
10653      0      0     119537664             0         5.429507  MPI_SEEK
10653      0      0     119537664       1048576         5.429522  MPI_READ
10653      0      0    1193279488             0         5.439394  MPI_SEEK
10653      0      0    1193279488       1048576         5.439406  MPI_READ
10653      0      0     121634816             0         5.490456  MPI_SEEK
10653      0      0     121634816       1048576         5.490470  MPI_READ
10653      0      0    1195376640             0         5.535695  MPI_SEEK
10653      0      0    1195376640       1048576         5.535709  MPI_READ
10653      0      0     123731968             0         5.589495  MPI_SEEK
10653      0      0     123731968       1048576         5.589509  MPI_READ
10653      0      0    1197473792             0         5.674964  MPI_SEEK
10653      0      0    1197473792       1048576         5.674983  MPI_READ
10653      0      0     125829120             0         5.741861  MPI_SEEK
10653      0      0     125829120       1048576         5.741875  MPI_READ
10653      0      0    1199570944             0         5.786190  MPI_SEEK
10653      0      0    1199570944       1048576         5.786204  MPI_READ
10653      0      0     127926272             0         5.840792  MPI_SEEK
10653      0      0     127926272       1048576         5.840805  MPI_READ
10653      0      0    1201668096             0         5.850673  MPI_SEEK
10653      0      0    1201668096       1048576         5.850685  MPI_READ
10653      0      0     130023424             0         5.890350  MPI_SEEK
10653      0      0     130023424       1048576         5.890365  MPI_READ
10653      0      0    1203765248             0         5.935550  MPI_SEEK
10653      0      0    1203765248       1048576         5.935564  MPI_READ
10653      0      0     132120576             0         5.987771  MPI_SEEK
10653      0      0     132120576       1048576         5.987786  MPI_READ
10653      0      0    1205862400             0         6.054337  MPI_SEEK
10653      0      0    1205862400       1048576         6.054356  MPI_READ
10653      0      0     134217728             0         6.162637  MPI_SEEK
10653      0      0     134217728       1048576         6.162656  MPI_READ
10653      0      0    1207959552             0         6.207315  MPI_SEEK
10653      0      0    1207959552       1048576         6.207330  MPI_READ
10653      0      0     136314880             0         6.272766  MPI_SEEK
10653      0      0     136314880       1048576         6.272779  MPI_READ
10653      0      0    1210056704             0         6.282608  MPI_SEEK
10653      0      0    1210056704       1048576         6.282620  MPI_READ
10653      0      0     138412032             0         6.332958  MPI_SEEK
10653      0      0     138412032       1048576         6.332972  MPI_READ
10653      0      0    1212153856             0         6.380659  MPI_SEEK
10653      0      0    1212153856       1048576         6.380673  MPI_READ
10653      0      0     140509184             0         6.420834  MPI_SEEK
10653      0      0     140509184       1048576         6.420846  MPI_READ
10653      0      0    1214251008             0         6.483415  MPI_SEEK
10653      0      0    1214251008       1048576         6.483428  MPI_READ
10653      0      0     142606336             0         6.541920  MPI_SEEK
10653      0      0     142606336       1048576         6.541939  MPI_READ
10653      0      0    1216348160             0         6.602921  MPI_SEEK
10653      0      0    1216348160       1048576         6.602935  MPI_READ
10653      0      0     144703488             0         6.642173  MPI_SEEK
10653      0      0     144703488       1048576         6.642186  MPI_READ
10653      0      0    1218445312             0         6.652012  MPI_SEEK
10653      0      0    1218445312       1048576         6.652024  MPI_READ
10653      0      0     146800640             0         6.692207  MPI_SEEK
10653      0      0     146800640       1048576         6.692228  MPI_READ
10653      0      0    1220542464             0         6.737289  MPI_SEEK
10653      0      0    1220542464       1048576         6.737303  MPI_READ
10653      0      0     148897792             0         6.791100  MPI_SEEK
10653      0      0     148897792       1048576         6.791113  MPI_READ
10653      0      0    1222639616             0         6.854309  MPI_SEEK
10653      0      0    1222639616       1048576         6.854323  MPI_READ
10653      0      0     150994944             0         6.916117  MPI_SEEK
10653      0      0     150994944       1048576         6.916131  MPI_READ
10653      0      0    1224736768             0         6.956053  MPI_SEEK
10653      0      0    1224736768       1048576         6.956068  MPI_READ
10653      0      0     153092096             0         7.007854  MPI_SEEK
10653      0      0     153092096       1048576         7.007867  MPI_READ
10653      0      0    1226833920             0         7.017633  MPI_SEEK
10653      0      0    1226833920       1048576         7.017646  MPI_READ
10653      0      0     155189248             0         7.066968  MPI_SEEK
10653      0      0     155189248       1048576         7.066983  MPI_READ
10653      0      0    1228931072             0         7.112196  MPI_SEEK
10653      0      0    1228931072       1048576         7.112210  MPI_READ
10653      0      0     157286400             0         7.166000  MPI_SEEK
10653      0      0     157286400       1048576         7.166014  MPI_READ
10653      0      0    1231028224             0         7.232484  MPI_SEEK
10653      0      0    1231028224       1048576         7.232498  MPI_READ
10653      0      0     159383552             0         7.299321  MPI_SEEK
10653      0      0     159383552       1048576         7.299334  MPI_READ
10653      0      0    1233125376             0         7.340750  MPI_SEEK
10653      0      0    1233125376       1048576         7.340762  MPI_READ
10653      0      0     161480704             0         7.387105  MPI_SEEK
10653      0      0     161480704       1048576         7.387119  MPI_READ
10653      0      0    1235222528             0         7.397137  MPI_SEEK
10653      0      0    1235222528       1048576         7.397150  MPI_READ
10653      0      0     163577856             0         7.434633  MPI_SEEK
10653      0      0     163577856       1048576         7.434646  MPI_READ
10653      0      0    1237319680             0         7.482463  MPI_SEEK
10653      0      0    1237319680       1048576         7.482476  MPI_READ
10653      0      0     165675008             0         7.522723  MPI_SEEK
10653      0      0     165675008       1048576         7.522737  MPI_READ
10653      0      0    1239416832             0         7.581800  MPI_SEEK
10653      0      0    1239416832       1048576         7.581814  MPI_READ
10653      0      0     167772160             0         7.653628  MPI_SEEK
10653      0      0     167772160       1048576         7.653642  MPI_READ
10653      0      0    1241513984             0         7.703605  MPI_SEEK
10653      0      0    1241513984       1048576         7.703618  MPI_READ
10653      0      0     169869312             0         7.745852  MPI_SEEK
10653      0      0     169869312       1048576         7.745880  MPI_READ
10653      0      0    1243611136             0         7.755701  MPI_SEEK
10653      0      0    1243611136       1048576         7.755712  MPI_READ
10653      0      0     171966464             0         7.810631  MPI_SEEK
10653      0      0     171966464       1048576         7.810645  MPI_READ
10653      0      0    1245708288             0         7.855833  MPI_SEEK
10653      0      0    1245708288       1048576         7.855847  MPI_READ
10653      0      0     174063616             0         7.906964  MPI_SEEK
10653      0      0     174063616       1048576         7.906978  MPI_READ
10653      0      0    1247805440             0         7.974320  MPI_SEEK
10653      0      0    1247805440       1048576         7.974334  MPI_READ
10653      0      0     176160768             0         8.032876  MPI_SEEK
10653      0      0     176160768       1048576         8.032895  MPI_READ
10653      0      0    1249902592             0         8.078718  MPI_SEEK
10653      0      0    1249902592       1048576         8.078733  MPI_READ
10653      0      0     178257920             0         8.122196  MPI_SEEK
10653      0      0     178257920       1048576         8.122209  MPI_READ
10653      0      0    1251999744             0         8.132037  MPI_SEEK
10653      0      0    1251999744       1048576         8.132049  MPI_READ
10653      0      0     180355072             0         8.171456  MPI_SEEK
10653      0      0     180355072       1048576         8.171470  MPI_READ
10653      0      0    1254096896             0         8.216610  MPI_SEEK
10653      0      0    1254096896       1048576         8.216623  MPI_READ
10653      0      0     182452224             0         8.257906  MPI_SEEK
10653      0      0     182452224       1048576         8.257920  MPI_READ
10653      0      0    1256194048             0         8.320266  MPI_SEEK
10653      0      0    1256194048       1048576         8.320279  MPI_READ
10653      0      0     184549376             0         8.387113  MPI_SEEK
10653      0      0     184549376       1048576         8.387131  MPI_READ
10653      0      0    1258291200             0         8.427384  MPI_SEEK
10653      0      0    1258291200       1048576         8.427397  MPI_READ
10653      0      0     186646528             0         8.473711  MPI_SEEK
10653      0      0     186646528       1048576         8.473724  MPI_READ
10653      0      0    1260388352             0         8.483631  MPI_SEEK
10653      0      0    1260388352       1048576         8.483643  MPI_READ
10653      0      0     188743680             0         8.536471  MPI_SEEK
10653      0      0     188743680       1048576         8.536484  MPI_READ
10653      0      0    1262485504             0         8.581635  MPI_SEEK
10653      0      0    1262485504       1048576         8.581649  MPI_READ
10653      0      0     190840832             0         8.632799  MPI_SEEK
10653      0      0     190840832       1048576         8.632813  MPI_READ
10653      0      0    1264582656             0         8.698438  MPI_SEEK
10653      0      0    1264582656       1048576         8.698458  MPI_READ
10653      0      0     192937984             0         8.765371  MPI_SEEK
10653      0      0     192937984       1048576         8.765384  MPI_READ
10653      0      0    1266679808             0         8.810989  MPI_SEEK
10653      0      0    1266679808       1048576         8.811009  MPI_READ
10653      0      0     195035136             0         8.855691  MPI_SEEK
10653      0      0     195035136       1048576         8.855705  MPI_READ
10653      0      0    1268776960             0         8.865464  MPI_SEEK
10653      0      0    1268776960       1048576         8.865485  MPI_READ
10653      0      0     197132288             0         8.911414  MPI_SEEK
10653      0      0     197132288       1048576         8.911426  MPI_READ
10653      0      0    1270874112             0         8.957629  MPI_SEEK
10653      0      0    1270874112       1048576         8.957643  MPI_READ
10653      0      0     199229440             0         9.009580  MPI_SEEK
10653      0      0     199229440       1048576         9.009593  MPI_READ
10653      0      0    1272971264             0         9.064407  MPI_SEEK
10653      0      0    1272971264       1048576         9.064422  MPI_READ
10653      0      0     201326592             0         9.131255  MPI_SEEK
10653      0      0     201326592       1048576         9.131269  MPI_READ
